sex,state,name,estimate
male,cohab,"M#2G, EW",0.006381594
male,cohab,"M#2G, India",-0.027621999
male,cohab,"M#2G, Pakistan",0.558574675
male,cohab,"M#2G, Bangladesh",-0.347722706
male,cohab,"M#2G, Caribbean",-1.013426277
male,cohab,"M#2G, African",0.102724444
male,cohab,"M#2G, Other",-0.105088108
male,cohab,"Sep#, Native",0
male,cohab,"Sep#1G, EW",0.098215047
male,cohab,"Sep#1G, India",-0.123157955
male,cohab,"Sep#1G, Pakistan",-1.39E+01
male,cohab,"Sep#1G, Bangladesh",0.598287999
male,cohab,"Sep#1G, Caribbean",-1.323190744
male,cohab,"Sep#1G, African",-0.031542268
male,cohab,"Sep#1G, Other",0.203465604
male,cohab,"Sep#2G, EW",-4.56E-02
male,cohab,"Sep#2G, India",0.573151762
male,cohab,"Sep#2G, Pakistan",0.183872853
male,cohab,"Sep#2G, Bangladesh",0.568575529
male,cohab,"Sep#2G, Caribbean",0.462388457
male,cohab,"Sep#2G, African",0.167261217
male,cohab,"Sep#2G, Other",0.381913944
male,cohab,"B#, Native",-0.096074762
male,cohab,"B#1G, EW",-0.530405396
male,cohab,"B#1G, India",-0.528636466
male,cohab,"B#1G, Pakistan",-1.39E+01
male,cohab,"B#1G, Bangladesh",0.821516209
male,cohab,"B#1G, Caribbean",0.381373215
male,cohab,"B#1G, African",0.093619661
male,cohab,"B#1G, Other",-0.290348959
male,cohab,"B#2G, EW",-0.03233323
male,cohab,"B#2G, India",-0.663619835
male,cohab,"B#2G, Pakistan",-0.134574451
male,cohab,"B#2G, Bangladesh",0.75096174
male,cohab,"B#2G, Caribbean",0.202886965
male,cohab,"B#2G, African",-0.408111858
male,cohab,"B#2G, Other",-0.230254902
male,cohab,constant,-4.622041713
male,cohab,cohort_80_03,0
male,cohab,Parity_0,0
male,cohab,Parity_1,0.004481941
male,cohab,Parity_2,-0.291979024
male,cohab,Parity_3+,-0.422297634
female,married,age_16_19,-0.184055659
female,married,age_20_24,0
female,married,age_25_29,-0.075065846
female,married,age_30_34,-0.102241164
female,married,age_35_39,-0.563107828
female,married,age_40_44,-1.630743268
female,married,age_45_49,-2.947830123
female,married,"Sep#, Native",-1.554709699
female,married,"Sep#1G, EW",-2.013930993
female,married,"Sep#1G, India",-2.883443414
female,married,"Sep#1G, Pakistan",-2.320071086
female,married,"Sep#1G, Bangladesh",-2.906107315
female,married,"Sep#1G, Caribbean",-1.531173092
female,married,"Sep#1G, African",-2.042390874
female,married,"Sep#1G, Other",-2.076205982
female,married,"Sep#2G, EW",-1.593297375
female,married,"Sep#2G, India",-2.226877615
female,married,"Sep#2G, Pakistan",-1.952176844
female,married,"Sep#2G, Bangladesh",-2.492116176
female,married,"Sep#2G, Caribbean",-0.729110166
female,married,"Sep#2G, African",-1.609839993
female,married,"Sep#2G, Other",-1.937370615
female,married,"B#, Native",0
female,married,"B#1G, EW",0.007486903
female,married,"B#1G, India",-0.103072579
female,married,"B#1G, Pakistan",0.346087999
female,married,"B#1G, Bangladesh",2.52E-01
female,married,"B#1G, Caribbean",-0.10405681
female,married,"B#1G, African",0.143272296
female,married,"B#1G, Other",0.10076437
female,married,"B#2G, EW",0.016140046
female,married,"B#2G, India",6.08E-02
female,married,"B#2G, Pakistan",0.252268085
female,married,"B#2G, Bangladesh",0.215934428
female,married,"B#2G, Caribbean",0.238474234
female,married,"B#2G, African",0.089546328
female,married,"B#2G, Other",0.184890754
female,married,constant,-3.856186298
female,married,cohort_80_03,0
female,married,Parity_0,0
female,married,Parity_1,-0.116252058
female,married,Parity_2,-0.926187292
female,married,Parity_3+,-1.01E+00
male,married,age_16_19,-0.418343986
male,married,age_20_24,0
male,married,age_25_29,0.054216368
male,married,age_30_34,0.049606022
male,married,age_35_39,-0.20603536
male,married,age_40_44,-0.828610495
male,married,age_45_49,-1.533488957
male,married,"Sep#, Native",-1.935653627
male,married,"Sep#1G, EW",-2.349473367
male,married,"Sep#1G, India",-3.256800978
male,married,"Sep#1G, Pakistan",-2.686714925
male,married,"Sep#1G, Bangladesh",-3.280804421
male,married,"Sep#1G, Caribbean",-1.496809919
male,married,"Sep#1G, African",-2.3413727
male,married,"Sep#1G, Other",-2.881350571
male,married,"Sep#2G, EW",-2.337750201
male,married,"Sep#2G, India",-3.150642575
male,married,"Sep#2G, Pakistan",-2.771357481
male,married,"Sep#2G, Bangladesh",-3.12503263
male,married,"Sep#2G, Caribbean",-1.384397362
male,married,"Sep#2G, African",-2.615397641
male,married,"Sep#2G, Other",-1.877423899
male,married,"B#, Native",0
male,married,"B#1G, EW",-0.033929345
male,married,"B#1G, India",-0.023485027
male,married,"B#1G, Pakistan",0.408108279
male,married,"B#1G, Bangladesh",0.323332719
male,married,"B#1G, Caribbean",-2.73E-01
male,married,"B#1G, African",0.197601718
male,married,"B#1G, Other",0.094837341
male,married,"B#2G, EW",0.104596024
male,married,"B#2G, India",0.085230459
male,married,"B#2G, Pakistan",3.96E-01
male,married,"B#2G, Bangladesh",0.276163993
male,married,"B#2G, Caribbean",0.156047736
male,married,"B#2G, African",0.198012803
male,married,"B#2G, Other",-0.058265226
male,married,constant,-4.048977393
male,married,cohort_80_03,0
male,married,Parity_0,0
male,married,Parity_1,-0.090762805
male,married,Parity_2,-0.937504154
male,married,Parity_3+,-1.088525234
